index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
45,2024-07-15 13:32:21,60.0,10.0,26.8555,382.9391,27.8501,123.6075,226.1466,43.29427,0.0006142613193079535,14.46406,1937.5,51.794,1885.7060000000001,0.5,0.99,52.31717171717172,25333496657605.7,0.0010015875654528347,32.08547712642702,True,45.0,46.82010453272752
46,2024-07-15 13:33:20,60.0,10.0,26.4938,383.8433,27.7597,127.76689999999999,228.04540000000003,43.4932,0.000612057228190187,14.5145,1949.87,49.624,1900.246,0.5,0.99,50.12525252525253,26759328582462.934,0.0010015875932895782,30.630893721613013,True,46.0,44.3253620907604
47,2024-07-15 13:34:20,60.0,10.0,26.765,388.45489999999995,27.7597,126.86269999999999,229.8991,43.69575,0.0006098262919487837,14.52711,1929.2530000000002,53.53,1875.723,0.5,0.99,54.07070707070707,25099876150560.984,0.0010015875932895782,32.92147288654047,True,47.0,47.25588770272852
48,2024-07-15 13:35:20,60.0,10.0,26.765,386.2847,28.031,129.93710000000002,230.0799,43.89829,0.0006076087701122911,14.53972,1954.644,56.424,1898.22,0.5,0.99,56.99393939393939,23918198768950.414,0.001001587509748649,34.57512906455519,True,48.0,49.59056654363642
49,2024-07-15 13:36:20,60.0,10.0,26.8555,386.7368,28.031,125.9585,228.31670000000003,44.11531,0.0006052472618923884,14.53972,1931.424,48.9,1882.523,0.5,0.99,49.39393939393939,27493731148660.965,0.001001587509748649,29.84816232359243,True,49.0,43.14136270708845
50,2024-07-15 13:37:20,60.0,10.0,26.765,373.6256,27.669300000000003,116.4641,217.692,44.34679,0.0006027448458582183,14.57755,1864.366,47.454,1816.913,0.5,0.99,47.93333333333334,27125255240160.336,0.00100158762112637,28.845773452131517,True,50.0,43.727400360157475
51,2024-07-15 13:38:21,60.0,10.0,26.674599999999998,452.11220000000003,27.8501,194.67950000000002,295.5458,44.54934,0.0006005691103751118,14.57755,1710.5030000000002,74.074,1636.4289999999999,0.5,0.99,74.82222222222222,23677382994645.152,0.0010015875654528347,44.86468980470283,True,51.0,50.094934983180046
52,2024-07-15 13:39:20,60.0,10.0,26.8555,454.3728,28.3022,195.855,296.8117,44.63614,0.0005996407216434435,14.56494,1713.542,76.244,1637.297,0.5,0.99,77.01414141414142,23137792441827.523,0.0010015874262388322,46.10762288394981,True,52.0,51.26319330303838
53,2024-07-15 13:40:21,60.0,10.0,26.674599999999998,451.93139999999994,28.031,194.8604,295.365,44.73018,0.0005986374168069127,14.59016,1712.674,70.312,1642.3609999999999,0.5,0.99,71.02222222222223,25009408306513.523,0.001001587509748649,42.449171173936925,True,53.0,47.426832859002204
54,2024-07-15 13:41:20,60.0,10.0,26.674599999999998,453.4686,28.031,193.50400000000002,295.4554,44.90379,0.000596792470486651,14.56494,1712.8909999999998,62.645,1650.246,0.5,0.99,63.27777777777778,28165656506826.426,0.001001587509748649,37.70384610365419,True,54.0,42.11217400056281
