datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
2024-07-11 13:39:18,60.0,10.0,25.951200000000004,365.3067,19.1696,299.4792,313.22339999999997,36.69705,0.0006954061966398326,14.77932,2711.589,270.83299999999997,2440.7549999999997,0.0,0.99,273.5686868686868,5927229702696.453,0.0010015902386036318,189.9393112300416,True,150.55,200.11267582790344
2024-07-11 13:40:18,60.0,10.0,26.041700000000002,451.3889,20.616300000000003,392.8856,401.5209,36.79109,0.000694129136894716,14.79193,2227.865,345.92,1881.944,0.0,0.99,349.41414141414145,5959775553458.424,0.0010015897930692199,242.15356234350563,True,151.55,199.0199652704426
2024-07-11 13:41:18,60.0,10.0,26.2225,456.9046,20.0738,402.92240000000004,409.83970000000005,36.75853,0.0006945708647724105,14.76671,2241.754,352.431,1889.323,0.0,0.99,355.9909090909091,5967068950152.713,0.0010015899601396113,246.8684026584329,True,152.55,198.77667506901562
2024-07-11 13:42:18,60.0,10.0,26.041700000000002,460.2503,20.3451,405.2734,412.4168,36.82002,0.0006937369719467061,14.84237,2246.311,350.40500000000003,1895.9060000000002,0.0,0.99,353.94444444444446,6046567544218.938,0.0010015898765888666,245.15458159631467,True,153.55,196.16323080627132
2024-07-11 13:43:18,60.0,10.0,25.951200000000004,461.2449,20.164199999999997,401.6565,411.28650000000005,36.78386,0.0006942271544225933,14.82976,2248.9150000000004,351.707,1897.208,0.0,0.99,355.25959595959597,6003431240110.993,0.0010015899322995665,246.2393544812364,True,154.55,197.5727065653942
2024-07-11 13:44:18,60.0,10.0,25.951200000000004,459.3461,20.164199999999997,401.0236,410.0206,36.86343,0.0006931492160097561,14.81715,2253.038,349.392,1903.646,0.0,0.99,352.92121212121214,6033977397999.291,0.0010015899322995665,244.23873843598628,True,155.55,196.57252265831391
2024-07-11 13:45:18,60.0,10.0,25.8608,462.69169999999997,20.4355,407.8053,414.813,36.773,0.0006943745105707185,14.81715,2251.0849999999996,348.235,1902.85,0.0,0.99,351.7525252525253,6113977907831.315,0.0010015898487489084,243.8602865926887,True,156.55,194.00041603225375
2024-07-11 13:46:18,60.0,10.0,25.7704,459.979,20.164199999999997,403.0128,411.3317,36.89598,0.0006927090432966046,14.77932,2256.076,347.656,1908.42,0.0,0.99,351.16767676767677,6087364249815.894,0.0010015899322995665,242.87087715821076,True,157.55,194.84856008474316
2024-07-11 13:47:18,60.0,10.0,25.8608,471.101,20.3451,414.4061,422.40849999999995,36.82002,0.0006937369719467061,14.79193,2276.6929999999998,355.17900000000003,1921.513,0.0,0.99,358.7666666666667,6109817296903.548,0.0010015898765888666,248.49462518171106,True,158.55,194.1325193739346
2024-07-11 13:48:18,60.0,10.0,25.951200000000004,470.28720000000004,20.5259,411.4222,420.32879999999994,36.93215,0.0006922204827101143,14.81715,2280.8160000000003,356.771,1924.045,0.0,0.99,360.3747474747475,6065866553063.627,0.001001589820909034,249.06281638036083,True,159.55,195.53913366278752
2024-07-11 13:49:18,60.0,10.0,25.8608,470.8297,20.0738,414.8582,422.7702,36.85981,0.0006931981891556114,14.82976,2278.646,352.57500000000005,1926.07,0.0,0.99,356.1363636363637,6165000677346.398,0.0010015899601396113,246.48118710253456,True,160.55,192.39480867818122
2024-07-11 13:50:18,60.0,10.0,25.8608,471.55310000000003,20.3451,417.57090000000005,424.21689999999995,36.94661,0.0006920252938120243,14.79193,2281.25,353.443,1927.807,0.0,0.99,357.0131313131313,6181363852852.609,0.0010015898765888666,246.66994232524053,True,161.55,191.88552122117102
2024-07-11 13:51:18,60.0,10.0,25.8608,472.0956,20.164199999999997,415.1295,424.3526,36.92853,0.000692269324628205,14.82976,2280.382,351.997,1928.385,0.0,0.99,355.55252525252524,6206553635919.973,0.0010015899322995665,245.74738482175636,True,162.55,191.10672820475142
2024-07-11 13:52:18,60.0,10.0,26.3129,472.6382,20.5259,415.1295,423.3579,36.9213,0.0006923669883291143,14.82976,2275.8250000000003,352.286,1923.5390000000002,0.0,0.99,355.84444444444443,6186052854821.382,0.001001589820909034,245.98387600428998,True,163.55,191.7400834646423
2024-07-11 13:53:18,60.0,10.0,25.8608,472.18600000000004,20.3451,414.31570000000005,424.3978,37.00449,0.0006912449583844749,14.82976,2278.646,352.286,1926.3600000000001,0.0,0.99,355.84444444444443,6211313619436.334,0.0010015898765888666,245.5852279867989,True,164.55,190.96028592901197
2024-07-11 13:54:18,60.0,10.0,25.7704,473.45189999999997,20.4355,414.7678,423.6744,36.92853,0.0006922693491533187,14.81715,2285.8070000000002,351.707,1934.1,0.0,0.99,355.25959595959597,6201743541660.552,0.0010015898487489084,245.5449499439513,True,165.55,191.25496721421908
